-150,-150,-150,150,
-150,-150,150,-150,
-149,-150,-149,150,
-150,-149,150,-149,
-148,-150,-148,150,
-150,-148,150,-148,
-147,-150,-147,150,
-150,-147,150,-147,
-146,-150,-146,150,
-150,-146,150,-146,
-145,-150,-145,150,
-150,-145,150,-145,
-144,-150,-144,150,
-150,-144,150,-144,
-143,-150,-143,150,
-150,-143,150,-143,
-142,-150,-142,150,
-150,-142,150,-142,
-141,-150,-141,150,
-150,-141,150,-141,
-140,-150,-140,150,
-150,-140,150,-140,
-139,-150,-139,150,
-150,-139,150,-139,
-138,-150,-138,150,
-150,-138,150,-138,
-137,-150,-137,150,
-150,-137,150,-137,
-136,-150,-136,150,
-150,-136,150,-136,
-135,-150,-135,150,
-150,-135,150,-135,
-134,-150,-134,150,
-150,-134,150,-134,
-133,-150,-133,150,
-150,-133,150,-133,
-132,-150,-132,150,
-150,-132,150,-132,
-131,-150,-131,150,
-150,-131,150,-131,
-130,-150,-130,150,
-150,-130,150,-130,
-129,-150,-129,150,
-150,-129,150,-129,
-128,-150,-128,150,
-150,-128,150,-128,
-127,-150,-127,150,
-150,-127,150,-127,
-126,-150,-126,150,
-150,-126,150,-126,
-125,-150,-125,150,
-150,-125,150,-125,
-124,-150,-124,150,
-150,-124,150,-124,
-123,-150,-123,150,
-150,-123,150,-123,
-122,-150,-122,150,
-150,-122,150,-122,
-121,-150,-121,150,
-150,-121,150,-121,
-120,-150,-120,150,
-150,-120,150,-120,
-119,-150,-119,150,
-150,-119,150,-119,
-118,-150,-118,150,
-150,-118,150,-118,
-117,-150,-117,150,
-150,-117,150,-117,
-116,-150,-116,150,
-150,-116,150,-116,
-115,-150,-115,150,
-150,-115,150,-115,
-114,-150,-114,150,
-150,-114,150,-114,
-113,-150,-113,150,
-150,-113,150,-113,
-112,-150,-112,150,
-150,-112,150,-112,
-111,-150,-111,150,
-150,-111,150,-111,
-110,-150,-110,150,
-150,-110,150,-110,
-109,-150,-109,150,
-150,-109,150,-109,
-108,-150,-108,150,
-150,-108,150,-108,
-107,-150,-107,150,
-150,-107,150,-107,
-106,-150,-106,150,
-150,-106,150,-106,
-105,-150,-105,150,
-150,-105,150,-105,
-104,-150,-104,150,
-150,-104,150,-104,
-103,-150,-103,150,
-150,-103,150,-103,
-102,-150,-102,150,
-150,-102,150,-102,
-101,-150,-101,150,
-150,-101,150,-101,
-100,-150,-100,150,
-150,-100,150,-100,
-99,-150,-99,150,
-150,-99,150,-99,
-98,-150,-98,150,
-150,-98,150,-98,
-97,-150,-97,150,
-150,-97,150,-97,
-96,-150,-96,150,
-150,-96,150,-96,
-95,-150,-95,150,
-150,-95,150,-95,
-94,-150,-94,150,
-150,-94,150,-94,
-93,-150,-93,150,
-150,-93,150,-93,
-92,-150,-92,150,
-150,-92,150,-92,
-91,-150,-91,150,
-150,-91,150,-91,
-90,-150,-90,150,
-150,-90,150,-90,
-89,-150,-89,150,
-150,-89,150,-89,
-88,-150,-88,150,
-150,-88,150,-88,
-87,-150,-87,150,
-150,-87,150,-87,
-86,-150,-86,150,
-150,-86,150,-86,
-85,-150,-85,150,
-150,-85,150,-85,
-84,-150,-84,150,
-150,-84,150,-84,
-83,-150,-83,150,
-150,-83,150,-83,
-82,-150,-82,150,
-150,-82,150,-82,
-81,-150,-81,150,
-150,-81,150,-81,
-80,-150,-80,150,
-150,-80,150,-80,
-79,-150,-79,150,
-150,-79,150,-79,
-78,-150,-78,150,
-150,-78,150,-78,
-77,-150,-77,150,
-150,-77,150,-77,
-76,-150,-76,150,
-150,-76,150,-76,
-75,-150,-75,150,
-150,-75,150,-75,
-74,-150,-74,150,
-150,-74,150,-74,
-73,-150,-73,150,
-150,-73,150,-73,
-72,-150,-72,150,
-150,-72,150,-72,
-71,-150,-71,150,
-150,-71,150,-71,
-70,-150,-70,150,
-150,-70,150,-70,
-69,-150,-69,150,
-150,-69,150,-69,
-68,-150,-68,150,
-150,-68,150,-68,
-67,-150,-67,150,
-150,-67,150,-67,
-66,-150,-66,150,
-150,-66,150,-66,
-65,-150,-65,150,
-150,-65,150,-65,
-64,-150,-64,150,
-150,-64,150,-64,
-63,-150,-63,150,
-150,-63,150,-63,
-62,-150,-62,150,
-150,-62,150,-62,
-61,-150,-61,150,
-150,-61,150,-61,
